PING 192.168.1.6 (192.168.1.6) 56(84) bytes of data.
64 bytes from 192.168.1.6: icmp_seq=2 ttl=64 time=32.6 ms
64 bytes from 192.168.1.6: icmp_seq=3 ttl=64 time=54.0 ms
64 bytes from 192.168.1.6: icmp_seq=4 ttl=64 time=178 ms
64 bytes from 192.168.1.6: icmp_seq=5 ttl=64 time=80.8 ms
64 bytes from 192.168.1.6: icmp_seq=6 ttl=64 time=9.72 ms
64 bytes from 192.168.1.6: icmp_seq=7 ttl=64 time=45.5 ms
64 bytes from 192.168.1.6: icmp_seq=8 ttl=64 time=65.7 ms
64 bytes from 192.168.1.6: icmp_seq=9 ttl=64 time=184 ms
64 bytes from 192.168.1.6: icmp_seq=10 ttl=64 time=72.0 ms
64 bytes from 192.168.1.6: icmp_seq=11 ttl=64 time=10.2 ms
64 bytes from 192.168.1.6: icmp_seq=12 ttl=64 time=54.9 ms
64 bytes from 192.168.1.6: icmp_seq=13 ttl=64 time=7.32 ms
64 bytes from 192.168.1.6: icmp_seq=14 ttl=64 time=182 ms
64 bytes from 192.168.1.6: icmp_seq=15 ttl=64 time=65.5 ms
64 bytes from 192.168.1.6: icmp_seq=16 ttl=64 time=3.28 ms
64 bytes from 192.168.1.6: icmp_seq=17 ttl=64 time=64.6 ms
64 bytes from 192.168.1.6: icmp_seq=18 ttl=64 time=87.2 ms
64 bytes from 192.168.1.6: icmp_seq=19 ttl=64 time=184 ms
64 bytes from 192.168.1.6: icmp_seq=20 ttl=64 time=77.6 ms
64 bytes from 192.168.1.6: icmp_seq=21 ttl=64 time=8.43 ms
64 bytes from 192.168.1.6: icmp_seq=22 ttl=64 time=74.0 ms
64 bytes from 192.168.1.6: icmp_seq=23 ttl=64 time=97.1 ms
64 bytes from 192.168.1.6: icmp_seq=24 ttl=64 time=14.8 ms
64 bytes from 192.168.1.6: icmp_seq=25 ttl=64 time=80.3 ms
64 bytes from 192.168.1.6: icmp_seq=26 ttl=64 time=4.28 ms
64 bytes from 192.168.1.6: icmp_seq=27 ttl=64 time=85.2 ms
64 bytes from 192.168.1.6: icmp_seq=28 ttl=64 time=106 ms
64 bytes from 192.168.1.6: icmp_seq=29 ttl=64 time=10.4 ms
64 bytes from 192.168.1.6: icmp_seq=30 ttl=64 time=82.4 ms
64 bytes from 192.168.1.6: icmp_seq=31 ttl=64 time=3.49 ms
64 bytes from 192.168.1.6: icmp_seq=32 ttl=64 time=91.9 ms
64 bytes from 192.168.1.6: icmp_seq=33 ttl=64 time=18.6 ms
64 bytes from 192.168.1.6: icmp_seq=34 ttl=64 time=18.4 ms
64 bytes from 192.168.1.6: icmp_seq=35 ttl=64 time=80.6 ms
64 bytes from 192.168.1.6: icmp_seq=36 ttl=64 time=4.77 ms
64 bytes from 192.168.1.6: icmp_seq=37 ttl=64 time=104 ms
64 bytes from 192.168.1.6: icmp_seq=38 ttl=64 time=29.5 ms
64 bytes from 192.168.1.6: icmp_seq=39 ttl=64 time=202 ms
64 bytes from 192.168.1.6: icmp_seq=40 ttl=64 time=108 ms
64 bytes from 192.168.1.6: icmp_seq=41 ttl=64 time=3.29 ms
64 bytes from 192.168.1.6: icmp_seq=42 ttl=64 time=13.8 ms
64 bytes from 192.168.1.6: icmp_seq=43 ttl=64 time=39.5 ms
64 bytes from 192.168.1.6: icmp_seq=44 ttl=64 time=24.1 ms
64 bytes from 192.168.1.6: icmp_seq=45 ttl=64 time=90.3 ms
64 bytes from 192.168.1.6: icmp_seq=46 ttl=64 time=4.65 ms
64 bytes from 192.168.1.6: icmp_seq=47 ttl=64 time=25.2 ms
64 bytes from 192.168.1.6: icmp_seq=48 ttl=64 time=46.5 ms
64 bytes from 192.168.1.6: icmp_seq=49 ttl=64 time=23.5 ms
64 bytes from 192.168.1.6: icmp_seq=50 ttl=64 time=86.3 ms
64 bytes from 192.168.1.6: icmp_seq=51 ttl=64 time=6.38 ms
64 bytes from 192.168.1.6: icmp_seq=52 ttl=64 time=35.0 ms
64 bytes from 192.168.1.6: icmp_seq=53 ttl=64 time=58.2 ms
64 bytes from 192.168.1.6: icmp_seq=54 ttl=64 time=207 ms
64 bytes from 192.168.1.6: icmp_seq=55 ttl=64 time=87.8 ms
64 bytes from 192.168.1.6: icmp_seq=56 ttl=64 time=3.54 ms
64 bytes from 192.168.1.6: icmp_seq=57 ttl=64 time=48.9 ms
64 bytes from 192.168.1.6: icmp_seq=58 ttl=64 time=81.0 ms
64 bytes from 192.168.1.6: icmp_seq=59 ttl=64 time=199 ms
64 bytes from 192.168.1.6: icmp_seq=60 ttl=64 time=92.3 ms
64 bytes from 192.168.1.6: icmp_seq=61 ttl=64 time=2.81 ms
64 bytes from 192.168.1.6: icmp_seq=62 ttl=64 time=56.9 ms
64 bytes from 192.168.1.6: icmp_seq=63 ttl=64 time=79.6 ms
64 bytes from 192.168.1.6: icmp_seq=64 ttl=64 time=32.8 ms
64 bytes from 192.168.1.6: icmp_seq=65 ttl=64 time=77.4 ms
64 bytes from 192.168.1.6: icmp_seq=66 ttl=64 time=10.2 ms
64 bytes from 192.168.1.6: icmp_seq=67 ttl=64 time=68.0 ms
64 bytes from 192.168.1.6: icmp_seq=68 ttl=64 time=98.2 ms
64 bytes from 192.168.1.6: icmp_seq=69 ttl=64 time=10.6 ms
64 bytes from 192.168.1.6: icmp_seq=70 ttl=64 time=100 ms
64 bytes from 192.168.1.6: icmp_seq=71 ttl=64 time=16.2 ms
64 bytes from 192.168.1.6: icmp_seq=72 ttl=64 time=82.0 ms
64 bytes from 192.168.1.6: icmp_seq=73 ttl=64 time=106 ms
64 bytes from 192.168.1.6: icmp_seq=74 ttl=64 time=21.0 ms
64 bytes from 192.168.1.6: icmp_seq=75 ttl=64 time=92.0 ms
64 bytes from 192.168.1.6: icmp_seq=76 ttl=64 time=4.03 ms
64 bytes from 192.168.1.6: icmp_seq=77 ttl=64 time=90.7 ms
64 bytes from 192.168.1.6: icmp_seq=78 ttl=64 time=14.0 ms
